display_name,segment_id_2024,base_id_2025,location_2024,location_2025,directions_2024,directions_2025,direction_display,pct_change_2024_2025,midweek_avg_daily_volume_2024,midweek_avg_daily_volume_2025,match_type,volume_comparability,needs_review,segment_id_2025,latitude,longitude,latitude_2024,longitude_2024,latitude_2025,longitude_2025,distance_m_2024_2025,text_score_2024_2025,match_tier_2024_2025,strict_reject_reason,direction_count,days_2024,days_2025,hours_2024,hours_2025,records_2024,records_2025,segment_id_2023,location_2023,latitude_2023,longitude_2023,distance_m_2023_2024,text_score_2023_2024,match_tier_2023_2024,directions_2023,midweek_avg_daily_volume_2023,pct_change_2023_2024,pct_change_2023_2025,days_2023,hours_2023,records_2023
FDR Dr between E Houston Street and E 6th Street — SB,47P4,771412,47_ATR_FDR Dr Btwn E Houston Street and E 6th Street_SB,F D R DRIVE between Dead End and E 6 Str-e River Park Ped Ovps,SB,SB,SB,5.27,68101.75,71689.33,strict_one_to_one,direction_set_exact,FALSE,240423,40.720521,-73.974764,40.720591,-73.974749,40.720451,-73.97478,15.8,44.7,close_distance,,1,12,6,24,24,1152,576,,,,,,,,,,,,,,
Ent From Van Dam Street and Van Dam Street — EB,49P2,771448,23_ATR_Ent from Van Dam Street and Van Dam Street,LIE WB ENTRANCE VAN DAM ST between Dead End and Van Dam Street,EB,EB,EB,-15.52,1272.33,1074.83,strict_one_to_one,direction_set_exact,FALSE,66192,40.738505,-73.93439,40.738514,-73.934419,40.738495,-73.934361,5.3,83.3,text_and_distance,,1,6,6,24,24,576,576,,,,,,,,,,,,,,
9A & W 42nd Street between W 42nd St and W 43rd St — NB,4P3A3B,771429,36_ATR_9A & W 42nd Street_NB between W 42nd St and W 43rd St,12 AVENUE between West 42 Street and West 43 Street,NB,NB,NB,23.57,34940.67,43175.17,strict_one_to_one,direction_set_exact,FALSE,152673,40.762156,-74.000937,40.762043,-74.001229,40.762269,-74.000645,55.2,64.9,text_and_distance,,1,6,6,24,24,576,576,,,,,,,,,,,,,,
Grand Central Parkway BQE — WB,50P2,771442,24_ATR_Grand Central Parkway WB BQE,GRAND CENTRAL PARKWAY between Dead End and Dead end,WB,WB,WB,-5.3,106724.67,101072.33,strict_one_to_one,direction_set_exact,FALSE,152997,40.76637,-73.890939,40.766381,-73.891029,40.766359,-73.890849,15.4,83.7,text_and_distance,,1,6,6,24,24,576,576,50P2,Grand Central Parkway WB BQE,40.766111,-73.890833,34.2,100.0,text_and_distance,WB,59187.5,80.32,70.77,6,24,576
Grand Central Parkway BQE — EB,51P2,771443,25_ATR_Grand Central Parkway EB BQE,GRAND CENTRAL PARKWAY between Dead End and Brooklyn Queens Expwy Et 42 Eb,EB,EB,EB,-6.1,98400.17,92399.5,strict_one_to_one,direction_set_exact,FALSE,139739,40.766302,-73.890921,40.766381,-73.891029,40.766222,-73.890812,25.4,91.3,text_and_distance,,1,6,6,24,24,576,576,51P2,Grand Central Parkway WB BQE,40.766381,-73.891029,0.0,96.0,text_and_distance,EB,57744.33,70.41,60.01,6,24,576
East 34th Street between 3rd Ave and Lexington Ave — WB,51P4,771425,51_ATR_ East 34th Street_WB between 3rd Ave and Lexington Ave,EAST 34 STREET between Lexington Avenue and 3 Avenue,WB,WB,WB,3.15,8237.33,8496.67,strict_one_to_one,direction_set_exact,FALSE,34153,40.746102,-73.978979,40.746129,-73.979011,40.746075,-73.978947,8.1,87.8,text_and_distance,,1,6,6,24,24,576,576,,,,,,,,,,,,,,
West Houston Street between West Broadway and Wooster St — EB,53P4,771407,53_ATR_ West Houston Street EB between West Broadway and Wooster St,WEST HOUSTON STREET between Wooster Street and West Broadway,EB,EB,EB,27.64,9138.5,11664.67,strict_one_to_one,direction_set_exact,FALSE,158825,40.726718,-73.99947,40.726773,-73.999392,40.726664,-73.999548,17.9,100.0,text_and_distance,,1,6,6,24,24,576,576,,,,,,,,,,,,,,
Queen Midtown Tunnel Entrance at 21st Street — WB,54P2,771447,28_ATR_Queen Midtown Tunnel Entrance at  21st Street,LIE WESTBOUND ENTRANCE 21 ST between 21 Street and Lie Westbound Entrance 50 Ave,WB,WB,WB,14.95,4150.5,4771.0,strict_one_to_one,direction_set_exact,FALSE,35550,40.741811,-73.950401,40.741828,-73.950249,40.741793,-73.950554,26.0,61.3,text_and_distance,,1,6,6,24,24,576,576,54P2,Queen Midtown Tunnel Entrance 21st Street,40.741828,-73.950249,0.0,100.0,text_and_distance,WB,3427.33,21.1,39.2,6,24,576
West 34th Street between 8th Ave and 9th Ave — WB,55P4,771423,55_ATR_ West 34th Street_WB between 8th Ave and 9th Ave,WEST 34 STREET between 8 Avenue and 9 Avenue,WB,WB,WB,-5.53,8696.0,8214.83,strict_one_to_one,direction_set_exact,FALSE,33814,40.752836,-73.99497,40.752868,-73.995023,40.752803,-73.994917,11.5,76.9,text_and_distance,,1,6,6,24,24,576,576,,,,,,,,,,,,,,
Queen Midtown Tunnel Entrance at 50th Avenue — SB,56P2,771446,30_ATR_Queen Midtown Tunnel Entrance at 50th Avenue,LIE WESTBOUND ENTRANCE 50 AVE between 50 Avenue and Lie Westbound Entrance 21 St,SB,SB,SB,15.35,4753.33,5483.0,strict_one_to_one,direction_set_exact,FALSE,35407,40.741857,-73.951099,40.741853,-73.951098,40.741861,-73.9511,0.9,60.5,text_and_distance,,1,6,6,24,24,576,576,,,,,,,,,,,,,,
Henry Hudson Parkway Ramp — NB,7P3A3B,771439,38_ATR_Henry Hudson Parkway Ramp,HENRY HUDSON PARKWAY between Henry Hudson Parkway Et 11 Sb and Dead end,NB,NB,NB,-8.07,61267.33,56323.33,strict_one_to_one,direction_set_exact,FALSE,229695,40.794917,-73.977682,40.795007,-73.977585,40.794826,-73.977779,25.9,87.2,text_and_distance,,1,6,6,24,24,576,576,7P3A3B,Henry Hudson Parkway Ramp,40.795007,-73.977585,0.0,100.0,text_and_distance,NB,60575.0,1.14,-7.02,6,24,576
9A W. 24th St and W 26th St — NB,8P3A3B,771420,39_ATR_9A W. 24th St and W 26th St,12 AVENUE between West 24 Street and West 26 Street,NB,NB,NB,34.71,25932.17,34932.67,strict_one_to_one,direction_set_exact,FALSE,159241,40.750393,-74.008318,40.750328,-74.008388,40.750458,-74.008247,18.7,70.6,text_and_distance,,1,6,6,24,24,576,576,,,,,,,,,,,,,,
8th Avenue between W 41st St and W 42nd St — NB,9P1,771426,6_ATR_8th Avenue between W 41st St and W 42nd St,8 AVENUE between 8 Avenue Line and 8 Avenue Line,NB,NB,NB,-7.93,15669.67,14426.5,strict_one_to_one,direction_set_exact,FALSE,33831,40.7569,-73.990024,40.756916,-73.990003,40.756884,-73.990045,5.0,46.2,close_distance,,1,6,6,24,24,576,576,9P1,8th Avenue 41st Street,40.756916,-73.990003,0.0,100.0,text_and_distance,NB,15329.5,2.22,-5.89,6,24,576
Henry Hudson Parkway Ramp 1 — SB,9P3A3B,771438,41_ATR_Henry Hudson Parkway Ramp_1,HENRY HUDSON PARKWAY between Henry Hudson Parkway Et 11 Sb and Dead end,SB,SB,SB,2.42,65367.33,66947.67,strict_one_to_one,direction_set_exact,FALSE,229701,40.795015,-73.977841,40.795103,-73.977746,40.794926,-73.977935,25.3,82.9,text_and_distance,,1,6,6,24,24,576,576,9P3A3B,Henry Hudson Parkway Ramp,40.795103,-73.977746,0.0,100.0,text_and_distance,SB,69377.33,-5.78,-3.5,6,24,576
